Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
196, , ,G.R. Costruzioni,Italy,Construction & Engineering,                                933.4,                                          117.8,"                                    3,199,973","                                      309,655",                     21,7,2018
197, , ,Digix,Italy,IT & Software,                                923.4,                                          117.1,"                                    9,947,541","                                      972,000",                     82,n/a,2018
198,5, ,Gift & Go,UK,Advertising & Marketing,                                908.9,                                          116.1,"                                  25,960,410","                                    2,696,808",                     15,3,2017
199, , ,Dotcom Canvas,Germany,Ecommerce,                                908.4,                                          116.0,"                                    1,655,793","                                      164,199",                       2,1,2018
200,26, ,carVertical,Lithuania,IT & Software,                                908.3,                                          116.0,"                                  23,367,631","                                    2,317,562",                     87,14,2018
201, , ,Wehype,Sweden,Advertising & Marketing,                                907.9,                                          116.0,"                                  13,119,959","                                    1,301,658",                     40,10,2016
202, , ,Neodigital,Germany,"Fintech, Fin Serv & Insurance ",                                899.8,                                          115.4,"                                  18,873,579","                                    1,887,699",                     85,27,2017
203,298, ,Enesco,Italy,Energy & Utilities,                                898.9,                                          115.4,"                                  51,435,814","                                    5,149,235",                     49,9,2013
204, , ,Dodiciundici — Società cooperativa di Servizi,Italy,Employment Services,                                895.8,                                          115.1,"                                    1,922,150","                                      193,028",                     61,17,2017
205, , ,Builder.ai,UK,IT & Software,                                891.8,                                          114.9,"                                112,743,686","                                  10,866,650",                   684,278,2016
206,126,136,Appinio,Germany,"Prof, Scientific & Tech Serv",                                871.6,                                          113.4,"                                  16,196,000","                                    1,667,000",                   150,13,2014
207, , ,AUXOLAR,Germany,Energy & Utilities,                                869.2,                                          113.2,"                                    2,145,261","                                      221,335",                     15,8,2018
208, , ,Amiqus Resolution,UK,IT & Software,                                862.5,                                          112.7,"                                    2,590,117","                                      282,040",                     44,20,2015
209, , ,Orqa doo,Croatia,Electrical Manufacturing,                                862.0,                                          112.7,"                                    2,844,264","                                      295,649",                     55,25,2018
210,213,174,SwipBox,Denmark,Logistics & Transportation,                                855.8,                                          112.2,"                                  49,825,549","                                    5,201,798",                     60,40,2012
211, , ,softstack,Germany,IT & Software,                                854.0,                                          112.1,"                                    2,001,800","                                      209,843",                     10,6,2017
212, , ,ForEdil,Italy,Wholesale,                                846.7,                                          111.5,"                                  27,420,920","                                    2,896,418",                     12,8,2014
213, , ,InBagno,Italy,Ecommerce,                                843.5,                                          111.3,"                                    4,368,826","                                      463,052",                     10,3,2017
214, , ,Ferraioli,Italy,Energy & Utilities,                                839.2,                                          111.0,"                                  14,199,618","                                    1,511,963",                     44,13,2007
215, , ,Intruder,UK,IT & Software,                                836.3,                                          110.8,"                                    6,967,647","                                      779,882",                     25,7,2015
216,301,300,BizAway,Italy,Hospitality & Travel,                                835.4,                                          110.7,"                                  33,449,726","                                    3,575,808",                   148,28,2015
217, , ,Scanye,Poland,IT & Software,                                830.8,                                          110.4,"                                    1,543,830","                                      183,280",                     32,15,2016
218, , ,Reos,Germany,Real Estate,                                825.0,                                          109.9,"                                    3,700,000","                                      400,000",                     79,14,2017
219, , ,vkn,Germany,Wholesale,                                825.0,                                          109.9,"                                    6,892,398","                                      745,153",                       4,1,2019
220, , ,AQON Pure,Germany,Mech & Plant Engineering,                                821.6,                                          109.7,"                                    9,572,644","                                    1,038,728",                     20,5,2004
221, , ,Cridav Italia,Italy,Energy & Utilities,                                814.2,                                          109.1,"                                  15,713,984","                                    1,718,846",                     13,8,2012
222,74, ,Pysense,Poland,IT & Software,                                814.0,                                          109.1,"                                    7,389,451","                                      893,390",                     23,7,2017
223,229, ,Essegi,Italy,Wholesale,                                811.1,                                          108.9,"                                  33,913,112","                                    3,722,195",                     14,5,2017
224,33, ,T.O.M.,Germany,Construction & Engineering,                                811.0,                                          108.9,"                                    9,997,644","                                    1,097,447",                     57,4,2018
225,539, ,Fenecon,Germany,Electrical Manufacturing,                                792.0,                                          107.4,"                                  92,041,072","                                  10,318,768",                   120,41,2011
226, , ,XAAS,Germany,IT & Software,                                789.4,                                          107.2,"                                    4,359,967","                                      490,200",                     13,8,2011
227, , ,Aprila Bank,Norway,"Fintech, Fin Serv & Insurance ",                                783.9,                                          106.8,"                                    8,332,722","                                    1,004,231",                     29,20,2017
228, , ,Autenti,Poland,"Fintech, Fin Serv & Insurance ",                                783.6,                                          106.7,"                                    3,298,591","                                      412,527",                   129,37,2012
229,300, ,Agrisole,Italy,"Agri, Forestry & Fishing",                                779.2,                                          106.4,"                                  71,195,850","                                    8,097,500",                       5,4,2014
230,379, ,EcoTek,Italy,Energy & Utilities,                                777.2,                                          106.2,"                                  28,440,022","                                    3,242,089",                     11,6,2006
231,261,301,Karl & Léon,France,Wholesale,                                771.4,                                          105.8,"                                  11,186,736","                                    1,283,829",                     10,2,2015
232, , ,eXalt,France,Management Consulting,                                770.1,                                          105.7,"                                  50,148,000","                                    5,763,198",                   650,90,2018
233, , ,Talentlotsen,Germany,Employment Services,                                764.5,                                          105.2,"                                    3,308,902","                                      382,746",                     29,12,2017
234,151, ,Triscari Gebäudereinigung,Germany,"Prof, Scientific & Tech Serv",                                763.7,                                          105.2,"                                    4,223,683","                                      489,008",                     75,33,2016
235,51, ,My Property Host,UK,Hospitality & Travel,                                763.0,                                          105.1,"                                    6,342,198","                                      770,242",                     37,7,2014
236, , ,Fascom,Sweden,IT & Software,                                755.7,                                          104.5,"                                    5,208,288","                                      649,236",                       3,2,2018
237, , ,Huware,Italy,IT & Software,                                753.3,                                          104.3,"                                  18,657,295","                                    2,186,395",                     52,22,2018
238, , ,récyf,France,Waste mgmt & recycling,                                749.1,                                          104.0,"                                  19,875,639","                                    2,340,922",                     37,7,2016
239, , ,Studio Speri Società di Ingegneria,Italy,Construction & Engineering,                                741.4,                                          103.4,"                                  33,197,509","                                    3,945,733",                     36,9,1997
240,253, ,Cambridge Spark,UK,Education & Social Services,                                733.2,                                          102.7,"                                    9,828,154","                                    1,236,301",                     88,17,2016
241, , ,Omega-Tools,Germany,"Prof, Scientific & Tech Serv",                                728.0,                                          102.3,"                                    2,452,332","                                      296,178",                     12,3,2017
242, , ,Insoore,Italy,"Fintech, Fin Serv & Insurance ",                                727.5,                                          102.3,"                                    3,235,325","                                      390,970",                     62,17,2015
243,376, ,PJM Investment Akademie,Germany,"Prof, Scientific & Tech Serv",                                721.2,                                          101.8,"                                  15,716,884","                                    1,913,874",                     17,3,2014
244, , ,Gruppo Pappalardo,Italy,Construction & Engineering,                                720.9,                                          101.7,"                                    8,840,528","                                    1,076,939",                       2,1,2016
245,397, ,Appsilon,Poland,IT & Software,                                718.7,                                          101.6,"                                    6,673,648","                                      900,689",                     79,16,2013
246, ,137,Pinsami,Italy,Food & Beverages,                                717.8,                                          101.5,"                                  16,790,403","                                    2,053,002",                     95,26,2015
247,259, ,Applover,Poland,IT & Software,                                715.6,                                          101.3,"                                    5,189,915","                                      703,169",                   100,20,2016
248, , ,Time to Hire,Netherlands,Employment Services,                                712.4,                                          101.0,"                                  10,184,189","                                    1,253,581",                     65,15,2017
249, , ,ICTZaakwaarnemer,Netherlands,Employment Services,                                706.9,                                          100.6,"                                    6,703,836","                                      830,765",                   130,35,2018
250, , ,LifeGoods,Netherlands,Ecommerce,                                699.1,                                            99.9,"                                  31,794,951","                                    3,978,992",                       8,5,2017
251,158, ,Secustaff,Germany,IT & Software,                                695.1,                                            99.6,"                                    5,771,537","                                      725,865",                     27,11,2018
252, , ,junglück,Germany,Pharma & Cosmetics,                                693.8,                                            99.5,"                                  25,400,000","                                    3,200,000",                     43,21,2018
253, , ,Rifò,Italy,Apparel & Fashion,                                692.4,                                            99.4,"                                    2,299,139","                                      290,157",                     15,3,2018
254, , ,181Travel,Italy,Hospitality & Travel,                                688.7,                                            99.1,"                                    1,635,137","                                      207,311",                     18,3,2015
255, , ,croit,Germany,IT & Software,                                687.5,                                            99.0,"                                    2,498,614","                                      317,275",                     18,3,2017
256,14, ,Wall Universe,Germany,Wholesale,                                687.2,                                            98.9,"                                  99,205,913","                                  12,602,934",                     17,4,2018
257, , ,Alchemy Global Solutions,Ireland,Waste mgmt & recycling,                                687.1,                                            98.9,"                                403,495,729","                                  51,266,420",                     97,20,2017
258, , ,Nuovi Sistemi Energetici,Italy,Energy & Utilities,                                684.2,                                            98.7,"                                    2,792,100","                                      356,059",                     19,3,2016
259,177, ,MK Color,Germany,Construction & Engineering,                                677.0,                                            98.1,"                                    7,353,592","                                      946,462",                     68,7,2017
260,164,121,Fenstermaxx24,Germany,Ecommerce,                                672.6,                                            97.7,"                                  27,233,000","                                    3,524,723",                     30,5,2016
261, , ,L+H,Germany,Management Consulting,                                672.0,                                            97.6,"                                    2,874,790","                                      372,385",                       5,3,2018
262,513, ,Beccaceci,Italy,Construction & Engineering,                                668.4,                                            97.3,"                                  21,616,455","                                    2,813,051",                     40,19,1987
263, , ,JB-Motors,Germany,Automotive,                                666.8,                                            97.2,"                                    9,062,774","                                    1,181,961",                       2,1,2018
264,418, ,PhotoAiD,Poland,IT & Software,                                665.9,                                            97.1,"                                    6,536,819","                                      943,067",                     11,5,2012
265, , ,Dash Water,UK,Food & Beverages,                                658.5,                                            96.5,"                                    9,097,114","                                    1,256,899",                     17,7,2017
266, , ,Edilgroup7,Italy,Construction & Engineering,                                652.5,                                            96.0,"                                    3,904,928","                                      518,937",                       9,1,2016
267, , ,4Energy,Italy,"Prof, Scientific & Tech Serv",                                648.1,                                            95.6,"                                    4,696,702","                                      627,807",                       5,2,2014
268, , ,Evergreen Mobility Rent,Italy,IT & Software,                                640.4,                                            94.9,"                                    5,041,628","                                      680,937",                       6,4,2013
269,893,340,Stufe a Pellet,Italy,Ecommerce,                                638.4,                                            94.7,"                                  16,037,101","                                    2,171,760",                     40,15,2013
270, ,77,Omnisend,UK,Ecommerce,                                638.2,                                            94.7,"                                  28,926,268","                                    4,106,525",                   188,53,2010
271, ,924,Snowit,Italy,Leisure & Entertainment,                                638.0,                                            94.7,"                                  10,025,255","                                    1,358,440",                     36,9,2016
272, , ,Start2impact,Italy,Education & Social Services,                                636.8,                                            94.6,"                                    1,587,707","                                      215,483",                       9,2,2017
273,128,266,reMarkable,Norway,IT & Software,                                635.3,                                            94.5,"                                258,197,846","                                  37,406,217",                   301,70,2016
274,205, ,Axtom,France,Real Estate,                                632.0,                                            94.2,"                                154,348,326","                                  21,084,939",                   146,35,2017
275,206, ,Plentific,UK,IT & Software,                                630.9,                                            94.1,"                                  10,757,568","                                    1,542,497",                   267,94,2012
276, , ,Flu,Italy,Advertising & Marketing,                                630.1,                                            94.0,"                                    5,551,091","                                      760,348",                     14,4,2018
277, , ,Endesa,Italy,Logistics & Transportation,                                629.3,                                            93.9,"                                    7,045,122","                                      965,989",                     12,7,2018
278,225, ,Zen Educate,UK,Education & Social Services,                                622.0,                                            93.3,"                                  20,601,113","                                    2,990,313",                   113,28,2016
279, , ,Route220,Italy,IT & Software,                                621.8,                                            93.3,"                                    3,937,188","                                      545,462",                     12,5,2014
280, , ,Bejamas Group,Poland,IT & Software,                                621.6,                                            93.2,"                                    2,596,892","                                      397,654",                     53,16,2018
281,466,462,Bumper,UK,"Fintech, Fin Serv & Insurance ",                                619.8,                                            93.1,"                                  11,527,595","                                    1,678,474",                     64,8,2013
282,367, ,Insuvia,Lithuania,"Prof, Scientific & Tech Serv",                                609.5,                                            92.2,"                                    2,274,970","                                      320,657",                     40,10,2014
283,909,614,Zimmerei Nordmann,Germany,Construction & Engineering,                                606.7,                                            91.9,"                                    5,926,455","                                      838,570",                     16,9,2009
284, , ,Varus Energy,Germany,Wholesale,                                605.0,                                            91.7,"                                  24,143,447","                                    3,424,808",                     17,6,2014
285, , ,ChemSynergy,Germany,Chemicals,                                604.1,                                            91.7,"                                  15,779,159","                                    2,241,000",                       7,6,2016
286, , ,A.M.I,France,IT & Software,                                602.3,                                            91.5,"                                    2,761,604","                                      393,211",                       8,3,2018
287,662, ,Redpoint new energy,Germany,Wholesale,                                597.6,                                            91.1,"                                164,070,973","                                  23,519,094",                     55,29,2014
288, , ,Dromedian,Italy,IT & Software,                                595.5,                                            90.9,"                                  29,628,392","                                    4,260,134",                     49,35,2005
289, , ,Faimed,Italy,Pharma & Cosmetics,                                594.9,                                            90.8,"                                    3,532,260","                                      508,280",                       7,1,2018
290,434,375,Fruugo.com,UK,Ecommerce,                                594.6,                                            90.8,"                                  73,827,382","                                  11,139,170",                   150,50,2012
291,143,689,Clearcycle,UK,Retail,                                592.9,                                            90.6,"                                    4,807,414","                                      727,151",                     41,4,2015
292, , ,Whiffle,Netherlands,Energy & Utilities,                                592.7,                                            90.6,"                                    2,450,059","                                      353,707",                     19,5,2015
293,245, ,Teicos UE,Italy,Construction & Engineering,                                590.7,                                            90.4,"                                  39,765,058","                                    5,756,944",                     50,12,1995
294, , ,We Don’t Have Time,Sweden,Media & Telecoms,                                584.6,                                            89.9,"                                    2,676,903","                                      417,070",                     13,5,2017
295,227,260,Longevity Partners,UK,Real Estate,                                579.5,                                            89.4,"                                  13,529,892","                                    2,086,897",                   160,14,2015
296,381, ,Metaloop,Austria,Waste mgmt & recycling,                                576.5,                                            89.1,"                                  63,730,561","                                    9,419,996",                     19,14,2016
297, ,69,Appfollow,Finland,IT & Software,                                573.7,                                            88.9,"                                    5,915,000","                                      878,000",                     79,73,2015
298,181,165,Bevcraft Group,Ireland,Food & Beverages,                                569.2,                                            88.4,"                                    8,989,428","                                    1,343,331",                     42,10,2016
299, , ,Nonsoloimmobili,Italy,Ecommerce,                                568.3,                                            88.4,"                                  13,271,206","                                    1,985,901",                     14,4,2019
300,77,100,MeilleursBiens,France,Real Estate,                                564.3,                                            88.0,"                                    9,260,220","                                    1,393,960",                       8,3,2010
301,715, ,Pontica Solutions,Bulgaria,"Prof, Scientific & Tech Serv",                                561.6,                                            87.7,"                                  15,042,722","                                    2,273,716",                   740,82,2015
302, , ,sneleentaxi,Netherlands,Logistics & Transportation,                                558.4,                                            87.4,"                                    9,235,303","                                    1,402,704",                     11,5,2016
303,87,91,MAF,Italy,Advertising & Marketing,                                557.0,                                            87.3,"                                  18,342,900","                                    2,791,743",                     14,8,2015
304, , ,Indexa Capital Group,Spain,"Fintech, Fin Serv & Insurance ",                                555.7,                                            87.2,"                                    3,931,909","                                      599,644",                     31,12,2014
305,211, ,Aulab,Italy,Education & Social Services,                                553.9,                                            87.0,"                                    2,017,608","                                      308,527",                     51,7,2014
306, , ,Clouds of care,Belgium,Health Care & Life Sciences,                                553.0,                                            86.9,"                                    2,142,000","                                      328,000",                     26,5,2016
307, , ,Singulair,France,Energy & Utilities,                                552.7,                                            86.9,"                                    2,318,509","                                      355,226",                     10,5,2014
308,297, ,Elevate,France,IT & Software,                                550.6,                                            86.7,"                                    7,944,000","                                    1,221,000",                     76,46,2017
309, , ,POM,Belgium,"Fintech, Fin Serv & Insurance ",                                548.8,                                            86.5,"                                    2,271,720","                                      350,144",                     12,7,2014
310, , ,Robaws,Belgium,IT & Software,                                548.2,                                            86.5,"                                    2,277,598","                                      351,354",                     18,6,2018
311,137, ,Online-Phones 24,Germany,Ecommerce,                                547.7,                                            86.4,"                                  30,952,388","                                    4,778,631",                     15,12,2018
312, , ,Obs Italia,Italy,Construction & Engineering,                                543.7,                                            86.0,"                                    8,540,588","                                    1,326,747",                       8,7,2015
313,60, ,Frameo,Denmark,IT & Software,                                541.9,                                            85.9,"                                    3,372,473","                                      524,212",                     20,2,2015
314,284, ,Vuba,UK,Manufacturing,                                541.8,                                            85.8,"                                  10,810,942","                                    1,765,481",                     32,6,2010
315, , ,Türe-Öngel,Germany,Construction & Engineering,                                539.0,                                            85.6,"                                    5,495,000","                                      860,000",                       9,9,2008
316,127, ,NB Baumaschinen,Germany,Wholesale,                                533.6,                                            85.0,"                                  12,775,385","                                    2,016,216",                     39,10,2016
317, , ,ITHQ,UK,IT & Software,                                533.2,                                            85.0,"                                    2,655,199","                                      439,485",                     12,5,2008
318, , ,Photon Entertainment,Poland,Education & Social Services,                                530.9,                                            84.8,"                                    4,844,197","                                      848,495",                     41,18,2016
319,853, ,pi3g,Germany,Ecommerce,                                530.4,                                            84.7,"                                    4,384,072","                                      695,477",                     12,1,2017
320,121,44,RightNow,Germany,IT & Software,                                529.7,                                            84.7,"                                  20,861,980","                                    3,312,987",                     34,21,2016
321, , ,TheMobileStore.se,Sweden,Ecommerce,                                527.9,                                            84.5,"                                    3,183,303","                                      540,741",                       7,7,2012
322,270, ,Kanalexperten Reitz,Germany,Construction & Engineering,                                525.2,                                            84.2,"                                    5,709,092","                                      913,205",                     40,5,2016
323,430,626,Manelli Impresa,Italy,Construction & Engineering,                                525.0,                                            84.2,"                                222,619,450","                                  35,620,629",                   332,139,2008
324, , ,Innpro,Poland,Wholesale,                                523.8,                                            84.1,"                                109,524,899","                                  19,399,904",                   181,48,2013
325, , ,BuyAssociation,UK,Real Estate,                                523.8,                                            84.1,"                                    4,226,155","                                      710,051",                     13,10,2017
326, , ,Clair Lagon,France,Construction & Engineering,                                521.2,                                            83.8,"                                    4,059,162","                                      653,393",                     14,3,2013
327, , ,Sales Performance,Italy,Advertising & Marketing,                                520.7,                                            83.8,"                                    3,126,481","                                      503,672",                     15,5,2018
328, , ,Datapao,Hungary,IT & Software,                                520.4,                                            83.7,"                                    2,494,153","                                      402,046",                     20,4,2016
329, ,339,LeHibou,France,IT & Software,                                516.9,                                            83.4,"                                  47,758,489","                                    7,742,299",                     53,19,2016
330, , ,Andersen,Poland,IT & Software,                                516.5,                                            83.4,"                                  59,463,557","                                    9,644,645",                     10,5,2014
331, , ,Car & Classic,UK,Automotive,                                512.8,                                            83.0,"                                    4,481,422","                                      766,445",                     87,29,2005
332, , ,Engea Consulting,Italy,"Prof, Scientific & Tech Serv",                                511.3,                                            82.8,"                                    2,203,880","                                      360,547",                     12,9,2015
333, , ,LK Personal,Germany,Employment Services,                                510.9,                                            82.8,"                                    4,948,000","                                      810,000",                     67,48,2019
334,125,42,LGM Immobilier,France,Real Estate,                                507.0,                                            82.4,"                                    7,195,064","                                    1,185,387",                     12,7,2016
335, , ,XTB,Poland,"Fintech, Fin Serv & Insurance ",                                503.5,                                            82.1,"                                307,292,860","                                  56,262,524",                   860,434,2004
336, , ,Centro Caravans Barassi,Italy,Retail,                                501.0,                                            81.8,"                                  15,815,171","                                    2,631,357",                       6,2,1978
337, , ,Sinergia FD,Italy,Ecommerce,                                498.7,                                            81.6,"                                    6,265,891","                                    1,046,575",                     15,5,2017
338,138,38,Telemedi,Poland,Health Care & Life Sciences,                                493.3,                                            81.0,"                                    7,745,050","                                    1,442,476",                     85,30,2014
339, , ,Metricool,Spain,IT & Software,                                491.7,                                            80.9,"                                    4,744,688","                                      801,836",                     43,11,2016
340,42,72,Scolution,Germany,IT & Software,                                491.1,                                            80.8,"                                    3,667,437","                                      620,415",                     23,10,2015
341, , ,BcodeAutomation,Italy,IT & Software,                                490.5,                                            80.8,"                                    1,845,800","                                      312,568",                     10,4,2017
342,226,431,Dialectica,UK,"Prof, Scientific & Tech Serv",                                488.8,                                            80.6,"                                  64,294,165","                                  10,437,874",                   834,130,2015
343,455, ,IBO,Germany,Ecommerce,                                484.8,                                            80.2,"                                    4,364,199","                                      746,241",                     18,7,2017
344, , ,releva.nz,Germany,Advertising & Marketing,                                481.6,                                            79.8,"                                    2,774,627","                                      477,059",                       7,3,2015
345, , ,Far Out,Italy,Apparel & Fashion,                                480.0,                                            79.7,"                                    4,292,683","                                      740,093",                     44,6,2018
346,340, ,VisMederi,Italy,Pharma & Cosmetics,                                479.4,                                            79.6,"                                  21,218,962","                                    3,662,079",                     98,31,2009
347, , ,Pair Finance,Germany,"Fintech, Fin Serv & Insurance ",                                477.8,                                            79.4,"                                  26,000,000","                                    4,500,000",                   212,80,2016
348,308, ,Enerfin,Italy,Energy & Utilities,                                477.2,                                            79.4,"                                  53,026,672","                                    9,186,983",                       2,7,2013
349, , ,Loop Horizon,UK,Advertising & Marketing,                                476.1,                                            79.3,"                                    5,840,089","                                    1,062,393",                     34,7,2019
350, , ,MadTools,Italy,Manufacturing,                                475.7,                                            79.2,"                                    1,508,878","                                      262,083",                     11,2,2019
351, , ,Soter Analytics,UK,IT & Software,                                475.1,                                            79.2,"                                    2,127,222","                                      353,611",                     43,10,2017
352, , ,Liqid Investments,Germany,"Fintech, Fin Serv & Insurance ",                                474.9,                                            79.1,"                                  10,663,234","                                    1,854,939",                     41,17,2015
353, , ,Anyfin,Sweden,"Fintech, Fin Serv & Insurance ",                                472.6,                                            78.9,"                                    7,584,201","                                    1,412,831",                   144,39,2017
354,292, ,Leancode,Poland,IT & Software,                                472.2,                                            78.9,"                                    3,007,259","                                      580,772",                     55,25,2016
355,404, ,Maen,Spain,IT & Software,                                471.2,                                            78.8,"                                    4,521,181","                                      791,542",                     10,6,2008
356, , ,Alcove,UK,IT & Software,                                470.5,                                            78.7,"                                    4,915,947","                                      903,026",                     45,7,2014
357, , ,Enecsol,France,Wholesale,                                470.3,                                            78.7,"                                  38,671,997","                                    6,781,201",                     12,5,2014
358, , ,Knobs,Italy,IT & Software,                                469.5,                                            78.6,"                                    2,399,316","                                      421,282",                     35,5,2014
359, , ,Sparteo,France,Advertising & Marketing,                                468.7,                                            78.5,"                                  15,899,003","                                    2,795,738",                     70,26,2016
360, , ,ürbag.ws,Spain,Advertising & Marketing,                                467.2,                                            78.3,"                                  11,364,547","                                    2,003,491",                     16,13,2009
361,349,238,intumind,Germany,Health Care & Life Sciences,                                467.1,                                            78.3,"                                  13,375,500","                                    2,358,500",                     30,20,2015
362, , ,Adiemme,Italy,Furniture & Interiors,                                466.7,                                            78.3,"                                  14,410,859","                                    2,542,926",                     11,9,2009
363, , ,Busforfun.com,Italy,Leisure & Entertainment,                                466.3,                                            78.2,"                                    4,830,755","                                      853,000",                     31,8,2015
364,197, ,I’Mprinting,Italy,IT & Software,                                465.7,                                            78.2,"                                  22,505,897","                                    3,978,738",                     19,5,2017
365,159, ,Suncity,Italy,Energy & Utilities,                                465.0,                                            78.1,"                                  43,136,968","                                    7,635,396",                     88,26,2012
366,422, ,Espresso Coffee Shop,Italy,Ecommerce,                                463.8,                                            78.0,"                                  12,633,874","                                    2,240,956",                       4,1,2012
367, , ,Myflexoffice,France,Real Estate,                                463.0,                                            77.9,"                                  22,925,981","                                    4,071,896",                     67,9,2016
368, , ,Scan.com,UK,Health Care & Life Sciences,                                462.5,                                            77.8,"                                    2,608,573","                                      486,046",                     26,5,2017
