Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
59,100,252,Extra Mile Live Service,Germany,Ecommerce,"                             2,537.0",                                          197.6,"                                    5,964,881","                                      226,200",                       5,4,2017
60, , ,Conal Service (Formaggi Terre Sarde),Italy,Food & Beverages,"                             2,515.5",                                          196.8,"                                    6,401,960","                                      244,769",                       2,2,2005
61, , ,Mia Burton,Italy,Apparel & Fashion,"                             2,501.8",                                          196.3,"                                    3,888,676","                                      149,461",                     30,4,2019
62,22, ,Arbolus,UK,"Prof, Scientific & Tech Serv","                             2,463.3",                                          194.8,"                                    8,079,110","                                      330,324",                   156,5,2017
63, , ,Italsoft Group,Italy,Construction & Engineering,"                             2,422.9",                                          193.3,"                                  39,944,944","                                    1,583,270",                     22,12,2008
64, , ,Gentle North,Germany,Ecommerce,"                             2,408.2",                                          192.7,"                                    6,584,102","                                      262,500",                     14,2,2017
65,76, ,United Shipping Hungaria,Hungary,Logistics & Transportation,"                             2,374.8",                                          191.4,"                                  33,321,423","                                    1,629,121",                     45,3,2008
66, , ,Rizzi Costruzioni,Italy,Construction & Engineering,"                             2,256.9",                                          186.7,"                                  11,217,809","                                      475,956",                       3,3,1975
67, , ,Loft Film,Germany,Advertising & Marketing,"                             2,244.5",                                          186.2,"                                    6,601,307","                                      281,569",                     30,2,2019
68,28, ,Mawave,Germany,Advertising & Marketing,"                             2,236.5",                                          185.9,"                                    4,600,299","                                      196,891",                     56,3,2018
69,16, ,Mission Mittelstand,Germany,Management Consulting,"                             2,224.9",                                          185.4,"                                  27,322,599","                                    1,175,230",                   114,6,2014
70, , ,Wakame Italia,Italy,Food & Beverages,"                             2,223.9",                                          185.4,"                                  14,975,227","                                      644,402",                   130,21,2019
71,78, ,Love2Dogs,Czech Rep,Ecommerce,"                             2,181.3",                                          183.6,"                                    2,512,025","                                      104,901",                     15,2,2017
72,40,94,Baroni,Italy,Ecommerce,"                             2,155.9",                                          182.6,"                                    5,442,619","                                      241,257",                       1,1,2016
73,11,4,OnlyFans,UK,Media & Telecoms,"                             2,143.3",                                          182.0,"                             1,015,474,926","                                  43,271,534","                1,337",11,2016
74, , ,VST Fire Solutions,Netherlands,Construction & Engineering,"                             2,083.5",                                          179.5,"                                  12,550,990","                                      574,799",                     34,7,2019
75, , ,Jeton Wallet,UK,"Fintech, Fin Serv & Insurance ","                             2,074.2",                                          179.1,"                                  28,338,722","                                    1,366,039",                     25,5,2018
76, , ,McGill and Partners,UK,"Fintech, Fin Serv & Insurance ","                             2,047.7",                                          178.0,"                                140,703,188","                                    6,262,575",                   433,91,2019
77, , ,Just Join IT,Poland,Employment Services,"                             2,034.6",                                          177.4,"                                  14,577,159","                                      754,596",                   220,47,2019
78, , ,X-Win,Italy,Energy & Utilities,"                             2,030.0",                                          177.2,"                                  36,324,664","                                    1,705,363",                     10,6,2013
79, , ,Luxor Building,Italy,Construction & Engineering,"                             2,025.9",                                          177.0,"                                  21,154,563","                                      995,095",                     41,6,2009
80, , ,Circula,Germany,"Fintech, Fin Serv & Insurance ","                             1,987.3",                                          175.3,"                                    3,280,144","                                      157,150",                   112,15,2017
81, , ,Digital Wines (Etilika),Italy,Ecommerce,"                             1,983.5",                                          175.2,"                                    4,173,101","                                      200,291",                     13,5,2018
82, , ,HPS Home Power Solutions,Germany,Energy & Utilities,"                             1,967.4",                                          174.5,"                                    8,080,023","                                      390,837",                   192,91,2014
83, , ,Ferryscanner,Greece,Hospitality & Travel,"                             1,921.7",                                          172.4,"                                    5,195,507","                                      256,984",                     27,12,2018
84,304, ,Save NRG,Italy,Energy & Utilities,"                             1,917.9",                                          172.3,"                                  16,427,648","                                      814,090",                     19,5,2015
85,62, ,Voltaïca,France,Energy & Utilities,"                             1,906.7",                                          171.7,"                                  20,085,123","                                    1,000,883",                     10,1,2008
86, , ,Kulturwerke Deutschland,Germany,Hospitality & Travel,"                             1,869.6",                                          170.1,"                                    8,224,625","                                      417,577",                     32,4,2014
87, , ,Seeders,Netherlands,Advertising & Marketing,"                             1,858.4",                                          169.5,"                                  13,275,897","                                      677,882",                   103,29,2019
88, , ,Apzumi,Poland,IT & Software,"                             1,793.2",                                          166.5,"                                    2,363,528","                                      137,948",                     16,4,2013
