Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
660,,,Aux Armes de Diane,France,Retail,243.3,50.9,3437700,1001300,6,4.0,2016
661,914.0,,Cool4u,Hungary,Wholesale,243.1,50.8,91951496,26799530,53,35.0,2001
662,,,elloha,France,IT & Software,242.5,50.7,2385505,696494,42,2.0,2018
663,,850.0,Artheau Aviation,France,Aerospace & Defence,242.4,50.7,18321800,5351630,11,5.0,2012
664,,,Gallin Bois,France,Manufacturing,242.3,50.7,5617073,1641142,22,12.0,1928
665,435.0,352.0,Nova Rent,Lithuania,"Agri, Forestry & Fishing",242.2,50.7,23459968,6856131,41,16.0,2016
666,666.0,,Contents,Italy,IT & Software,242.1,50.7,3479141,1017098,50,20.0,2016
667,223.0,12.0,One Lease,France,"Prof, Scientific & Tech Serv",241.7,50.6,18150982,5312545,20,9.0,2016
668,567.0,,Gusto,France,Wholesale,241.6,50.6,14867568,4351994,34,12.0,2012
669,,,Sinay,France,IT & Software,241.3,50.6,5152448,1509525,72,42.0,2008
670,,,Digital Angels,Italy,Advertising & Marketing,241.1,50.5,16506780,4838764,65,18.0,2007
671,773.0,,Serpe,France,"Prof, Scientific & Tech Serv",240.9,50.5,76155969,22336523,1066,329.0,1988
672,402.0,,LA-Grossküchenservice,Germany,Wholesale,240.8,50.5,2161464,634312,5,3.0,2013
674,,,beSharp,Italy,IT & Software,240.0,50.4,4629001,1361464,39,16.0,2011
673,705.0,769.0,Ogrodosfera.pl,Poland,Ecommerce,240.0,50.4,26049413,8465867,26,18.0,2011
675,,,Clos & Monopole,France,Ecommerce,239.6,50.3,3433546,1010915,11,4.0,2017
676,501.0,855.0,Grayce,UK,Management Consulting,239.4,50.3,40105640,12383383,652,221.0,2012
677,763.0,958.0,3E Studio,Italy,"Prof, Scientific & Tech Serv",239.3,50.3,9384426,2766216,32,22.0,2015
678,,,Intergo Telecom,Cyprus,Media & Telecoms,239.2,50.3,2087930,615484,25,6.0,2016
679,,,EasyPark Group,Sweden,"Prof, Scientific & Tech Serv",239.2,50.2,251998000,74300000,828,420.0,2002
680,941.0,,Prium Group,France,Employment Services,238.6,50.2,49930685,14745606,28,25.0,2012
681,394.0,,Storage Share,Netherlands,Real Estate,238.2,50.1,2798731,827486,8,4.0,2016
682,829.0,662.0,Oxylabs,Lithuania,IT & Software,238.1,50.1,63277523,18715593,371,166.0,2015
683,,,Oiko Gestion,France,Real Estate,238.1,50.1,5749430,1700658,65,27.0,2010
684,899.0,,CH Oleochemicals,Germany,Waste mgmt & recycling,238.0,50.1,87730090,25954850,10,10.0,2017
685,,,Aitho,Italy,IT & Software,237.8,50.0,1656635,490412,30,10.0,2016
686,,,Meivcore,Portugal,"Prof, Scientific & Tech Serv",237.6,50.0,2762871,818274,245,347.0,2013
687,260.0,,Paysend,UK,"Fintech, Fin Serv & Insurance",237.4,50.0,62343531,17662759,260,83.0,2017
688,,,BFP Service,Italy,Construction & Engineering,237.4,50.0,5426991,1608475,44,10.0,2012
689,,219.0,Nethive*,Italy,IT & Software,236.8,49.9,8042045,2387823,38,14.0,2013
690,783.0,,GlobKurier,Poland,Logistics & Transportation,236.8,49.9,9112055,2989722,31,19.0,2010
691,389.0,,Revolgy,Czech Rep,IT & Software,236.7,49.9,36179220,10235784,53,38.0,1996
692,,,SneakyBox,Lithuania,IT & Software,236.5,49.9,3122260,927758,67,34.0,2012
693,,,Küpper & Kollegen Steuerberatung,Germany,Management Consulting,236.4,49.8,13104668,3896066,155,104.0,2013
694,,,Commoditech,Poland,IT & Software,236.2,49.8,3173394,1043149,50,30.0,2012
695,844.0,,Secret Key,Italy,Advertising & Marketing,235.8,49.7,3493974,1040463,20,11.0,2013
696,,,Constellation,France,IT & Software,234.8,49.6,159622412,47675832,688,198.0,2016
697,344.0,,Ikow,France,Retail,234.4,49.5,5203629,1555955,10,5.0,2012
698,,,Mirror Production,Italy,Advertising & Marketing,233.2,49.4,3595025,1078926,25,5.0,2011
699,290.0,,Kunua,Germany,Wholesale,232.9,49.3,7260916,2181087,9,6.0,2014
700,548.0,487.0,Seingim Global Service,Italy,Construction & Engineering,232.9,49.3,28995706,8711339,307,96.0,1999
701,,701.0,FinTrU,UK,"Fintech, Fin Serv & Insurance",231.8,49.2,57114718,18040059,1140,390.0,2013
702,613.0,,Riparti,Italy,Automotive,231.8,49.1,7490159,2257534,6,4.0,2011
703,827.0,,Vitamail,Norway,Pharma & Cosmetics,231.7,49.1,13089926,4203430,15,24.0,2009
704,375.0,,ITP Nord,Germany,IT & Software,231.7,49.1,16524535,4981839,70,30.0,2014
705,,,Global Freaks,Spain,Ecommerce,231.6,49.1,5032268,1517395,16,7.0,2017
706,801.0,,Ashler Et Manson,France,"Fintech, Fin Serv & Insurance",231.6,49.1,6510477,1963511,90,30.0,2011
707,,,Zafferano,Italy,Furniture & Interiors,231.3,49.1,37017649,11171855,45,22.0,1999
708,,,Lamurista — Die Wandsinnigen,Germany,Construction & Engineering,231.3,49.1,2173023,655921,14,3.0,2017
709,,,DVision Architecture,Italy,Construction & Engineering,230.4,48.9,8512751,2576514,7,3.0,2015
710,601.0,894.0,Symbiose Informatique,France,IT & Software,230.4,48.9,45973962,13916394,34,32.0,1991
711,,,Arcipelago S.c.p.A.,Italy,Energy & Utilities,229.0,48.7,59996827,18238529,212,5.0,1999
712,,,Kpler,Belgium,IT & Software,228.9,48.7,40358910,12270629,273,166.0,2019
713,993.0,372.0,Opéra Energie,France,Energy & Utilities,227.9,48.6,24401639,7441471,126,69.0,2014
714,823.0,809.0,Soldats Films,France,Advertising & Marketing,227.5,48.5,6300882,1923921,6,2.0,2012
715,,,Onetile,Italy,Retail,227.3,48.5,4330580,1322949,4,2.0,2017
716,,,10KB,Netherlands,IT & Software,227.3,48.5,1517520,463667,15,6.0,2013
717,,,elbmatic,Germany,Wholesale,226.9,48.4,68860854,21067551,23,9.0,2018
718,875.0,,Arpe Group,Italy,Management Consulting,226.4,48.3,4491032,1375781,10,7.0,2008
719,,,Cava International S.r.l. Unipersonale,Italy,Logistics & Transportation,226.2,48.3,42134416,12914979,28,17.0,2006
720,,,Dog & Cat Megastore,Italy,Ecommerce,226.0,48.3,4580000,1405000,20,12.0,1987
721,,,Cam.Edil,Italy,Mech & Plant Engineering,225.4,48.2,2573890,791070,3,2.0,2014
722,,,Fms Ea,France,IT & Software,224.8,48.1,16297254,5018295,615,190.0,2008
723,,,Get It Made,UK,Manufacturing,224.3,48.0,2275591,735429,4,1.0,2014
724,952.0,827.0,Worldwide Fishing Company,Spain,Food & Beverages,224.3,48.0,316759957,97684516,56,26.0,2016
725,,,Fattoretto,Italy,Advertising & Marketing,223.7,47.9,1826161,564202,9,1.0,2014
726,,410.0,Modalis,France,Logistics & Transportation,223.6,47.9,20844283,6441276,15,6.0,2002
727,807.0,,Imaginary Cloud,Portugal,IT & Software,223.2,47.8,4677157,1516748,85,30.0,2000
728,,,The Source,France,Advertising & Marketing,223.1,47.8,7098527,2196869,32,10.0,2017
729,,,SmartRanking,Netherlands,Advertising & Marketing,223.0,47.8,1577475,488355,14,6.0,2015
730,,,Fae Technology,Italy,Manufacturing,223.0,47.8,39411028,12201448,107,74.0,1990
731,,,Hydrogen-Refueling-Solutions (Hrs),France,Metals & Mining,222.3,47.7,17034250,5285000,78,27.0,2004
732,265.0,409.0,Riluxa,Spain,Ecommerce,222.2,47.7,7237582,2246538,29,11.0,2016
733,,,Maco,Italy,Wholesale,222.1,47.7,12672883,3935054,7,6.0,1985
734,,,IMT Partners,France,Employment Services,222.0,47.7,25646164,7964438,32,7.0,2013
735,,,Gesco,Italy,Energy & Utilities,221.8,47.6,27749252,8623568,39,23.0,2006
736,885.0,633.0,R&K Ingenieure,Germany,Construction & Engineering,220.3,47.4,12041500,3759800,38,15.0,2016
737,696.0,,CV Partner,Norway,IT & Software,220.0,47.4,3232305,1076136,22,18.0,2012
738,,,Gaia Emprise,Italy,"Prof, Scientific & Tech Serv",219.8,47.3,3407026,1065411,41,19.0,1995
739,663.0,,CMSPI,UK,Management Consulting,219.6,47.3,44558157,13326321,118,74.0,2011
740,504.0,478.0,BrandUp Group,Italy,"Prof, Scientific & Tech Serv",219.1,47.2,5634387,1765564,6,2.0,2016
741,481.0,,Agenzia Chimica Italiana,Italy,Chemicals,219.1,47.2,23813000,7463000,7,4.0,2011
742,445.0,,Sparklers Club,France,Retail,219.0,47.2,4358928,1366447,12,2.0,2015
743,527.0,,Dein-Briefkasten.de,Germany,Ecommerce,218.8,47.2,2630000,825000,6,4.0,2016
744,624.0,,Herold,Germany,Construction & Engineering,218.7,47.2,13935976,4372654,96,33.0,2008
745,313.0,152.0,Floer,Netherlands,Wholesale,218.4,47.1,4207722,1321368,18,6.0,2017
746,,446.0,Sonar,Switzerland,IT & Software,218.0,47.1,180918602,51946994,419,127.0,2008
747,902.0,,Highway Traffic Management,UK,Construction & Engineering,218.0,47.1,24755010,8158650,234,105.0,1988
748,,,Netalia,Italy,IT & Software,217.3,47.0,4635891,1460923,26,3.0,2010
749,,49.0,DBT Capital,Sweden,"Fintech, Fin Serv & Insurance",216.9,46.9,8427193,2836425,30,10.0,2016
750,,,Eciglogística,Spain,Wholesale,216.5,46.8,59262808,18725530,48,39.0,2013
751,961.0,,Pallet Solution,Hungary,Wholesale,216.3,46.8,17299509,6616754,5,4.0,2010
752,756.0,546.0,Mint Italia,Italy,Logistics & Transportation,216.0,46.7,5739917,1816378,7,5.0,2015
753,,,Kiwi Digital,Italy,Advertising & Marketing,215.9,46.7,7863067,2489457,41,22.0,2013
754,,,Taurus Corporate Finance,Netherlands,Management Consulting,215.6,46.7,5460000,1730000,16,10.0,2011
755,963.0,,Pomilio Blumm,Italy,Advertising & Marketing,215.5,46.7,74347764,23562064,58,38.0,1991
756,,,CRMpartners,Italy,IT & Software,214.9,46.6,3226109,1024563,28,9.0,2015
757,580.0,,DYM Resources,Germany,Energy & Utilities,214.1,46.5,55905435,17798680,9,8.0,2016
758,,735.0,Boxt,UK,Ecommerce,213.7,46.4,81132771,27101843,74,36.0,2017
759,,,Upline,Italy,"Prof, Scientific & Tech Serv",213.3,46.3,7477222,2386446,13,12.0,2011
760,,807.0,Abtot,Sweden,Construction & Engineering,213.0,46.3,19085783,6503388,48,19.0,2012
761,,,.mattomedia,Germany,Advertising & Marketing,213.0,46.3,2980000,952000,35,12.0,2015
762,,,Guzzini & Fontana Projects,Italy,Furniture & Interiors,212.5,46.2,5683869,1818819,39,18.0,2015
763,,,NuBeTech,Italy,IT & Software,212.2,46.2,4435226,1420460,64,17.0,2018
764,,,MultiBel,Netherlands,IT & Software,211.2,46.0,3050000,980000,25,18.0,1995
765,326.0,,Hyntelo,Italy,IT & Software,211.2,46.0,6344710,2038633,61,12.0,2015
766,,,Imaco,Italy,Construction & Engineering,211.1,46.0,24295117,7809797,126,42.0,2006
767,,,bitside,Germany,IT & Software,210.7,45.9,2631148,846725,27,4.0,2018
768,,,MCO,Ireland,"Fintech, Fin Serv & Insurance",210.7,45.9,32853137,10109547,300,68.0,1998
769,,,Cicli Lombardo,Italy,Retail,210.5,45.9,35724268,11504758,79,47.0,2005
770,,,AS Labruna,Italy,Mech & Plant Engineering,210.3,45.9,27675090,8919118,27,16.0,1971
771,,,Onlineformapro,France,IT & Software,210.0,45.8,21124253,6813535,178,84.0,1999
772,764.0,605.0,Physidia,France,Health Care & Life Sciences,209.8,45.8,24336557,7854477,59,46.0,2010
773,759.0,800.0,MPB Group,UK,Ecommerce,209.6,45.7,154212371,52208161,408,145.0,2011
774,,,Walz Haustechnik,Germany,Construction & Engineering,209.4,45.7,2866399,926472,18,12.0,2016
775,671.0,,Lakógép,Hungary,Construction & Engineering,208.7,45.6,45499582,17832303,34,16.0,2011
776,,,BPO Group,UK,Hospitality & Travel,207.6,45.4,22971447,7826982,10,7.0,1970
777,500.0,223.0,The Information Lab,Italy,IT & Software,206.4,45.2,9192181,3000543,60,20.0,2015
778,718.0,,The Software House,Poland,IT & Software,206.2,45.2,14194386,5121987,288,146.0,2012
779,695.0,713.0,Epassi,Finland,"Fintech, Fin Serv & Insurance",205.8,45.1,415616434,135923327,146,55.0,2007
780,,333.0,Newroom,Germany,Ecommerce,205.7,45.1,4267000,1396000,9,5.0,2016
781,774.0,,Hostersi*,Poland,IT & Software,205.6,45.1,7421825,2683821,67,43.0,2007
782,365.0,570.0,Cladspray Solutions,UK,Construction & Engineering,205.5,45.1,2774290,951848,14,8.0,2013
783,,,Corset&Co,Italy,Manufacturing,205.1,45.0,19814635,6494749,106,47.0,2014
784,,,B&T Management,Italy,Hospitality & Travel,205.0,45.0,18623828,6105989,14,14.0,2009
785,238.0,,Kernel Global,UK,"Prof, Scientific & Tech Serv",204.4,44.9,56180222,19339806,254,195.0,2019
786,590.0,559.0,Ultra Premium Direct,France,Food & Beverages,204.1,44.9,38840713,12770410,109,43.0,2013
787,,,Alta Costruzioni,Italy,Construction & Engineering,203.7,44.8,3505889,1154300,7,5.0,2003
788,,,Farmed,Italy,Pharma & Cosmetics,203.6,44.8,12741776,4196462,9,3.0,2006
789,,,Expert Line,France,IT & Software,203.6,44.8,22219000,7318168,36,26.0,1987
790,988.0,775.0,Booster Box,Italy,Advertising & Marketing,203.3,44.7,4937825,1628120,57,25.0,2016
791,707.0,,Pasqualone,Italy,Mech & Plant Engineering,203.0,44.7,7165566,2365157,14,10.0,2010
792,610.0,,Darktrace,UK,IT & Software,202.9,44.7,386682890,122027133,2000,1500.0,2013
793,733.0,212.0,Serre,Italy,Food & Beverages,202.7,44.6,18845777,6226819,24,10.0,1995
794,,,Suedtirolnet,Italy,Media & Telecoms,202.5,44.6,2665080,881143,2,2.0,2015
795,,,AppTweak,Belgium,IT & Software,202.3,44.6,6862864,2269892,105,27.0,2014
796,,368.0,Kyo Electric,Spain,Media & Telecoms,202.2,44.6,9191407,3041039,12,12.0,2014
797,987.0,,Reparo,Italy,Food & Beverages,202.2,44.6,32953445,10903628,4,3.0,1999
798,536.0,,Leone,Italy,Waste mgmt & recycling,201.9,44.5,51638507,17106532,13,10.0,2017
799,400.0,,Jakob Trading,Germany,Wholesale,201.8,44.5,15930849,5279316,3,3.0,2018
800,,,Aksilia,Italy,Management Consulting,201.7,44.5,1733638,574709,3,1.0,2011
801,,,retesol,Germany,Wholesale,201.6,44.5,26502714,8788263,22,10.0,2014
802,,,Global Commissioning,UK,Construction & Engineering,201.4,44.5,9247758,3215233,58,17.0,2019
803,,659.0,Signicat,Norway,IT & Software,201.1,44.4,80951066,26889264,452,238.0,2006
804,,,Willo,Italy,IT & Software,200.6,44.3,1551217,516031,8,3.0,2019
805,446.0,,Voto Group,Italy,Construction & Engineering,200.5,44.3,4350096,1447560,14,8.0,1995
806,,,Stella Group,Italy,Wholesale,200.5,44.3,28468412,9473612,29,25.0,1991
807,464.0,,Thought Machine,UK,IT & Software,199.2,44.1,48600227,17022527,556,204.0,2014
808,,,Solarplay,Italy,Energy & Utilities,199.1,44.1,27033068,9037105,14,14.0,2010
809,,,Walliance,Italy,"Fintech, Fin Serv & Insurance",199.0,44.1,2082871,696550,15,7.0,2016
810,486.0,442.0,Tikamoon,France,Retail,198.7,44.0,102785000,34406880,160,80.0,2008
811,,,European Recruitment,UK,Employment Services,197.4,43.8,28745511,10128301,66,38.0,2009
812,,,Sertec Engineering Consulting,Italy,Construction & Engineering,197.4,43.8,3585166,1205664,15,8.0,1968
813,,,Gyconphy,Netherlands,Management Consulting,197.1,43.8,12059424,4059480,13,5.0,2018
814,,,Epos Now,UK,"Fintech, Fin Serv & Insurance",196.9,43.7,67823395,23939238,355,394.0,2011
815,359.0,,Domum-Bau,Germany,Construction & Engineering,196.8,43.7,7513879,2531621,9,1.0,2017
816,439.0,433.0,Eco CO2,France,Energy & Utilities,196.4,43.7,16926652,5710024,128,54.0,2009
817,,,Automated Analytics,UK,IT & Software,195.7,43.5,3297532,1168751,29,10.0,2013
818,,,Shown.io,Belgium,Advertising & Marketing,195.2,43.5,2874436,973716,10,9.0,2016
819,,,Parinox,France,Wholesale,195.2,43.5,8027885,2719492,34,9.0,2010
820,,,HÄNER Anbaugeräte,Germany,Wholesale,195.2,43.4,7709215,2611713,12,6.0,2014
821,,,Cemp,France,Wholesale,194.9,43.4,180137663,61076110,33,19.0,2007
822,,,Heca S.r.l. Unipersonale,Italy,"Fintech, Fin Serv & Insurance",194.8,43.4,1813723,615232,12,11.0,2009
823,154.0,209.0,Ulrich Müller Wealth Academy,Germany,"Prof, Scientific & Tech Serv",194.2,43.3,5205000,1769000,12,4.0,2014
824,,,Fifth Beat,Italy,IT & Software,194.1,43.3,5252725,1786076,40,18.0,2014
825,556.0,509.0,Fermeture Econ’Home,France,Retail,194.1,43.3,4569361,1553749,40,20.0,2012
826,,,The Italian Sea Group,Italy,Manufacturing,193.7,43.2,294684000,100321000,530,256.0,1973
827,921.0,,Inventya,UK,Management Consulting,193.4,43.2,4893610,1748146,51,27.0,2010
828,312.0,,Revo Costruzioni,Italy,Construction & Engineering,193.3,43.1,8777645,2992560,14,5.0,2011
829,390.0,,Purize Filters,Germany,Manufacturing,193.2,43.1,10732348,3660416,44,8.0,2017
830,432.0,,ScaleHub,Germany,IT & Software,192.8,43.1,5842260,1995095,26,20.0,2015
831,,,Horizon Technology Group,Italy,Construction & Engineering,191.5,42.9,7937246,2722441,25,22.0,2014
832,,,mindit.io,Romania,IT & Software,191.5,42.8,13141237,4508400,238,99.0,2015
833,,882.0,Ars Futura,Croatia,IT & Software,191.4,42.8,3746959,1285734,54,22.0,2013
834,,,Finelf.com,Poland,"Fintech, Fin Serv & Insurance",191.0,42.8,3371937,1280186,35,10.0,2018
835,,,Pape Martinihof,Germany,Construction & Engineering,190.8,42.7,3700000,1272445,29,18.0,2018
836,669.0,,Revesperfil,Portugal,Manufacturing,190.6,42.7,8849869,3045364,29,16.0,2006
837,793.0,,Solutel,France,Mech & Plant Engineering,190.1,42.6,3959151,1364794,36,15.0,2004
838,356.0,226.0,Bomae,Denmark,"Fintech, Fin Serv & Insurance",189.9,42.6,2773905,954627,25,10.0,2016
839,755.0,893.0,Panel Sandwich,Spain,Wholesale,189.9,42.6,20019765,6905281,38,25.0,2009
840,818.0,898.0,Giglio.com,Italy,Ecommerce,189.9,42.6,51111860,17633287,123,49.0,2007
841,742.0,413.0,StorPool Storage,Bulgaria,IT & Software,188.8,42.4,5369589,1859569,36,24.0,2015
842,,,Spideo,France,IT & Software,188.7,42.4,3574551,1238332,35,22.0,2010
843,,,Ministry of Programming,Bos & Herz,IT & Software,188.5,42.4,9056847,3138890,175,60.0,2015
844,,,Integra,Italy,Manufacturing,188.5,42.4,1589200,550785,3,2.0,2018
845,,369.0,SoPost,UK,Advertising & Marketing,187.7,42.2,15659900,5705489,69,38.0,2012
846,482.0,,Gusti d’Italia,Italy,Food & Beverages,186.6,42.0,7252643,2530834,2,1.0,2009
847,,,Tecnoplast,Italy,Furniture & Interiors,186.3,42.0,69429446,24253649,207,103.0,2003
848,,,Hula Hoop,France,Advertising & Marketing,185.9,41.9,4490070,1570395,42,13.0,2011
849,208.0,20.0,Portify,France,Employment Services,185.3,41.8,35673902,12505463,300,150.0,2017
850,768.0,654.0,B1gas,Italy,Energy & Utilities,185.2,41.8,57997160,20333579,11,9.0,2010
851,635.0,,Audebert Caoutchouc,France,Wholesale,185.1,41.8,9777209,3429887,11,5.0,1993
852,883.0,,IBN,France,Construction & Engineering,184.4,41.7,2904390,1021232,17,7.0,2013
853,,,PersonalHub Holding,Germany,Employment Services,184.3,41.7,14500000,5100000,20,10.0,2013
854,,,ISO Recruiting Consultants,Germany,Employment Services,184.2,41.7,18241100,6417815,23,15.0,2013
855,515.0,,50 Factory,France,Ecommerce,184.0,41.6,23669888,8333511,90,35.0,2010
856,478.0,405.0,SVS,Italy,Construction & Engineering,184.0,41.6,23259540,8190341,19,5.0,2016
857,,,Xpron Systems,Germany,IT & Software,183.7,41.6,9776767,3446670,300,110.0,2005
858,,,Vey Versorgungstechnik,Germany,Construction & Engineering,183.5,41.5,14883081,5249822,45,30.0,1955
859,,,Ecovadis,France,Management Consulting,183.5,41.5,93874507,33117679,1358,557.0,2007
860,,,V-Inox Outlet,Hungary,Wholesale,182.9,41.4,13034060,4606663,12,11.0,2015
861,,,Putetto,Italy,Construction & Engineering,182.6,41.4,5722685,2024862,21,12.0,2006
862,,,Bitnoise,Poland,IT & Software,182.5,41.4,2393907,936505,55,24.0,2016
863,,,Spotler Group,Netherlands,IT & Software,182.3,41.3,40656298,14399905,248,125.0,2016
864,,,TMC Italia,Italy,Construction & Engineering,182.0,41.3,13433161,4762961,146,65.0,2015
865,,,Laelle Trasporti,Italy,Logistics & Transportation,181.9,41.3,3191294,1131939,2,2.0,2018
866,867.0,83.0,CyberIAM,UK,IT & Software,181.9,41.3,11166210,4151349,141,36.0,2017
867,,,Nemo Consulting,Italy,Management Consulting,181.7,41.2,1907027,677051,7,3.0,2018
868,,,Cobral,Italy,Manufacturing,181.7,41.2,66831156,23727134,14,10.0,2010
869,,,Virtimo,Germany,IT & Software,181.4,41.2,15872167,5640002,49,29.0,2010
870,857.0,,Wabra Tec,Germany,Construction & Engineering,181.4,41.2,1923493,683510,17,8.0,2012
871,161.0,73.0,JL&P,France,Energy & Utilities,181.4,41.2,5056577,1796941,17,7.0,2017
872,,,Deolab,Italy,Retail,181.1,41.1,3494126,1242880,9,2.0,2018
873,,435.0,Beyer Betonwaren,Germany,Construction & Engineering,181.1,41.1,2972921,1057659,15,10.0,2017
874,812.0,877.0,Polarstern,Germany,Energy & Utilities,180.7,41.1,60496560,21551962,50,35.0,2011
875,,,Adameo,France,Management Consulting,180.6,41.1,9477405,3376958,70,55.0,2011
876,,,Geatop,Italy,"Prof, Scientific & Tech Serv",180.5,41.0,3302603,1177390,32,9.0,2008
877,,,Logistic Service,Italy,Logistics & Transportation,180.1,41.0,2105162,751544,28,2.0,2018
878,,,Munari Group,Italy,Energy & Utilities,179.6,40.9,8947563,3199624,9,3.0,2011
879,997.0,,Anthesis Group,UK,"Prof, Scientific & Tech Serv",179.4,40.8,87155555,32689569,1100,580.0,2013
880,,,Fonderie Pandolfo,Italy,Manufacturing,179.4,40.8,268275870,96025739,77,66.0,2003
881,,,Effezeta System,Italy,Furniture & Interiors,179.4,40.8,12814813,4586917,70,45.0,2009
882,679.0,,Geva Group,Germany,IT & Software,179.2,40.8,9866529,3534107,69,27.0,2013
883,,,My Jewellery,Netherlands,Apparel & Fashion,179.1,40.8,73364000,26290000,755,317.0,2011
884,523.0,,Fortris,Spain,"Fintech, Fin Serv & Insurance",178.9,40.8,7767328,2784544,93,36.0,2017
885,629.0,635.0,La Vida,UK,"Prof, Scientific & Tech Serv",178.3,40.7,14033606,5285684,16,10.0,2002
886,826.0,544.0,Yocabè,Italy,Ecommerce,178.2,40.6,5479292,1969579,15,9.0,2016
887,616.0,329.0,Les Constructeurs du Bois,France,Real Estate,178.0,40.6,10918555,3928155,16,12.0,2011
888,,,Draivi,Finland,"Fintech, Fin Serv & Insurance",177.9,40.6,9309061,3349729,10,9.0,2012
889,,795.0,Variosan,Germany,Furniture & Interiors,177.8,40.6,5390400,1940444,5,4.0,2013
890,,,Ottopuntozero,Italy,Furniture & Interiors,177.7,40.6,4387862,1580043,5,2.0,2016
891,61.0,,Babylon Cloud,Italy,IT & Software,177.7,40.6,2833456,1020404,32,15.0,2014
892,,,BetterGov,UK,Management Consulting,177.6,40.5,9849748,3718366,8,9.0,2016
893,752.0,,JR Service,Germany,Construction & Engineering,177.0,40.4,7794411,2813400,133,65.0,2014
894,,,C.G.M. Gruppi Elettrogeni,Italy,Mech & Plant Engineering,176.7,40.4,55427169,20034921,55,34.0,2000
895,,416.0,Sourcing Force,France,Management Consulting,176.3,40.3,13637841,4935245,32,15.0,2012
896,,,Leasy,France,"Fintech, Fin Serv & Insurance",176.3,40.3,16530400,5982187,5,3.0,2015
897,,,rankeffect,Germany,Advertising & Marketing,176.1,40.3,2253000,816000,30,7.0,2016
898,924.0,,ingage IR,UK,IT & Software,176.1,40.3,2520901,956933,20,15.0,2013
899,976.0,,Time,Italy,Manufacturing,175.9,40.3,4951682,1794898,22,11.0,1979
900,,,Lizergy,Germany,Energy & Utilities,175.8,40.2,7345448,2663124,27,12.0,2013
901,,,PHSE,Italy,Logistics & Transportation,175.6,40.2,73267705,26584733,555,240.0,2002
902,745.0,,TrenDevice,Italy,Ecommerce,175.1,40.1,19832874,7208384,43,13.0,1999
903,,,Company Imball,Italy,Wholesale,174.4,40.0,4768209,1737940,3,3.0,2018
904,,691.0,Codenor,Spain,Construction & Engineering,174.3,40.0,12672853,4619540,23,19.0,2010
905,,,WastePlus,Spain,Waste mgmt & recycling,174.3,40.0,4014175,1463389,6,1.0,2016
906,,,MBP Solutions,Switzerland,Waste mgmt & recycling,174.2,40.0,204166073,74454632,123,80.0,2010
907,,,Antares Energia,Italy,Energy & Utilities,173.8,39.9,9606537,3508193,9,6.0,2013
908,,,Portalia,France,Management Consulting,173.8,39.9,23558986,8603626,9,6.0,2016
909,,711.0,Vennes,Germany,Construction & Engineering,173.8,39.9,31396986,11466707,73,41.0,2003
910,,,Tieffe Group,Italy,Logistics & Transportation,173.3,39.8,11926374,4363696,11,9.0,2012
911,549.0,363.0,Gallas Group,Italy,Employment Services,173.3,39.8,8432719,3085644,150,56.0,2012
912,,,Hydroprocess,France,Manufacturing,172.7,39.7,12173842,4463748,19,10.0,2006
913,421.0,,Gustavo Gusto,Germany,Food & Beverages,172.1,39.6,85252000,31334337,417,150.0,2016
914,,,Optimisation Habitat Energie,France,Construction & Engineering,171.9,39.6,2155667,792732,14,7.0,2013
915,,,Trafalgar Entertainment,UK,Leisure & Entertainment,171.8,39.6,137939240,53190630,1361,189.0,2016
916,584.0,,Bioburger,France,Logistics & Transportation,171.6,39.5,14294382,5262883,255,100.0,2011
917,,,Selectra Italia,Italy,Energy & Utilities,171.1,39.4,6397991,2359667,154,58.0,2015
918,,,Seats.io,Belgium,IT & Software,170.6,39.3,2668000,986000,4,4.0,2014
919,604.0,,Aleas Cosmetics,Italy,Ecommerce,170.4,39.3,1625300,601067,5,2.0,2009
920,,,Assured Systems,UK,IT & Software,170.3,39.3,3673537,1424234,12,14.0,2011
921,,,Office In,France,"Prof, Scientific & Tech Serv",170.3,39.3,8059480,2981531,8,5.0,2013
922,,,Lemonway,France,"Fintech, Fin Serv & Insurance",170.3,39.3,16311552,6035000,130,64.0,2007
923,361.0,30.0,Sun Finance,Latvia,"Fintech, Fin Serv & Insurance",169.9,39.2,273907906,101475796,1160,716.0,2017
924,,,Appkeep,Italy,"Prof, Scientific & Tech Serv",169.9,39.2,2829065,1048173,15,9.0,2016
925,,643.0,Leascorp,France,"Fintech, Fin Serv & Insurance",169.9,39.2,37717313,13976926,17,4.0,2014
926,,,Comal,Italy,Energy & Utilities,169.8,39.2,61104520,22648926,121,65.0,2001
927,,,Cast Group,Italy,Mech & Plant Engineering,169.5,39.2,10241804,3800201,18,12.0,2009
928,,,Vypr,UK,IT & Software,169.5,39.2,2335752,908326,27,14.0,2013
929,,,eatventure®,Germany,Ecommerce,169.3,39.1,1891525,702379,31,10.0,2016
930,,,Imec Service,Italy,Media & Telecoms,169.2,39.1,8945000,3323343,55,33.0,2008
931,,,Koesea Baugesellschaft,Germany,Construction & Engineering,169.1,39.1,4854673,1803869,50,26.0,2019
932,,,F.M. Trasporti,Italy,Logistics & Transportation,169.1,39.1,22718611,8443711,216,80.0,1992
