Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
460,,,Arctic Stream,Romania,IT & Software,354.5,65.6,16491242,3766524,21,8.0,2017
461,503.0,164.0,Svea Solar,Sweden,Energy & Utilities,353.4,65.5,189687702,44624736,1086,325.0,2013
462,,,Extracadabra,France,Employment Services,351.9,65.3,11148361,2466750,54,17.0,2015
463,,,Baoss,Spain,IT & Software,351.4,65.3,4665909,1033668,44,17.0,2013
464,,,SPM,Germany,Construction & Engineering,351.4,65.3,78297586,17346167,20,11.0,2017
465,,,Krulo,Netherlands,Automotive,351.3,65.3,2075000,459749,8,2.0,2018
466,69.0,656.0,Archingest,Italy,Construction & Engineering,351.1,65.2,8156000,1808000,14,5.0,2005
467,,,Transferz,Netherlands,Hospitality & Travel,351.1,65.2,1583296,350982,60,15.0,2016
468,477.0,979.0,CYE Energía,Spain,Energy & Utilities,351.1,65.2,78392312,17379727,20,10.0,2013
469,,,B.G. Legno,Italy,Furniture & Interiors,350.7,65.2,15460902,3430050,31,19.0,1994
470,102.0,197.0,Bug BIte Thing Europe,Denmark,Health Care & Life Sciences,350.6,65.2,1617746,359000,4,1.0,1989
471,737.0,690.0,Opteamis,France,IT & Software,349.8,65.1,45460593,10107774,54,25.0,2005
472,200.0,,Wiechert Logistic,Germany,Logistics & Transportation,349.5,65.0,9911995,2204920,6,5.0,2012
473,187.0,,Apify,Czech Rep,IT & Software,347.7,64.8,5962256,1268804,14,4.0,2016
474,,,Schleeh & Wohlfahrt,Germany,Construction & Engineering,347.6,64.8,1978221,441924,14,2.0,2018
475,,469.0,Pure Gaming,France,Ecommerce,346.8,64.7,18387228,4115677,4,1.0,2010
476,96.0,28.0,Blue Whale Growth Fund,UK,"Fintech, Fin Serv & Insurance",345.9,64.6,8351459,1962883,10,7.0,2017
477,,307.0,AP Italian Luxury,Italy,Apparel & Fashion,345.6,64.6,10665402,2393454,16,7.0,2016
478,,,WeAreDevelopers,Austria,IT & Software,345.0,64.5,7369831,1656027,37,35.0,2017
479,,,CB Chemie,Austria,Chemicals,344.3,64.4,39286000,8842000,15,4.0,2016
480,,,Broxon,Germany,Ecommerce,344.2,64.4,4639555,1044585,3,3.0,2010
481,794.0,,ITS International Transport Solution,Italy,Logistics & Transportation,343.8,64.3,25103573,5656748,17,8.0,2009
482,,,Swascan,Italy,IT & Software,343.7,64.3,5888000,1327000,57,24.0,2016
